bahnar,vietnamese,reference
"Năng xu pơm lơng công tác dân vận, chính sách hậu phương quân đội","Quan tâm thực hiện tốt công tác dân vận, chính sách hậu phương quân đội",Kon Tum\Văn bản phát thanh\TT-CS bai 05.xlsx
"Năr 14/9, Trung tâm bôi dương chinh tri huyn Vinh Thanh pơm Lê bê giang lơ̆p ‘bôi dương ly luân chinh tri păng kơ̆p hla chư̆ng nhân ăn đơ̆i tương kêt nap đang măng mă 2 sônăm 2019","Ngày 14.9, Trung tâm Bồi dưỡng chính trị huyện Vĩnh Thạnh tổ chức Lễ  Bế giảng lớp Bồi dưỡng lý luận chính trị và cấp giấy chứng nhận cho đối tượng kết nạp Đảng đợt 2 năm 2019",Kon Tum\Văn bản phát thanh\TT-CS bai 02.xlsx
"Năr mi dơ̆ng kơxơ̆ yơ̆ng bri, dang ai duh vei mi","Trời mưa từ chiều qua, bây giờ vẫn còn mưa",Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_4_KT.xlsx
Năr mă pêng dăm Madŏng păng Mavăt bô̆k jang păng 'Bok Rơh.,"Tối đó, đương lúc mọi người trong làng ngủ thì từ cây cột to hiện ra ba cô gái xinh đẹp.",Kon Tum\Sử thi Homon\Homon Bahnar.xlsx
"Năr mă ăi tơpai bô̆k chă thông, kial wơvŭng bĭ pŭn hăp tơ blơih huăng tơ hơlŭng jrŭ.","Ngày kia gió thổi ào ào, chẳng may bị rớt xuống dưới hố sâu., một con thỏ đi chơi",Kon Tum\Sử thi Homon\Homon Bahnar.xlsx
Năr noh kăn hi truh,Ngày kia họ đến,Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_4_KT.xlsx
Năr tơning inh gôbơ̆ klaih xơnong noh,Ngày mai tôi sẽ làm xong việc ấy,Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_6_KT.xlsx
Năr tơ̆ning măt năr tam lĕch inh xang bô̆k boih,"Ngày mai, mặt trời chưa mọc tôi đã đi rồi",Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_6_KT.xlsx
Năr âu duch noh bôk tơmir,Hôm nay cô ấy lên nương,Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_4_KT.xlsx
Năr âu duch noh tŏk tơ mir,Hôm nay cô ấy lên nương,Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_6_KT.xlsx
Năr âu hi xoh muih,Hôm nay họ đốt rẫy,Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_6_KT.xlsx
Năr âu ji nar têt,Hôm nay là ngày tết,Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_4_KT.xlsx
Năr âu jĭ năr têt,Hôm nay là ngày tết,Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_6_KT.xlsx
Năr âu kăn hi xoh muih,Hôm nay họ đốt rẫy,Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_4_KT.xlsx
Năr âu nhong pơdei kơ pơxrăm,Hôm nay anh ấy nghỉ học,Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_4_KT.xlsx
Nĕ bô̆k jang,Mẹ đi làm,Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_6_KT.xlsx
Nĕ hei kơhi,Chớ tin nó!,Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_6_KT.xlsx
Nĕ hiơt kơinh,Đừng quên tôi!,"Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_4_KT.xlsx, Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_6_KT.xlsx"
Nĕ lui kơhi,Chớ tin nó!,Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_4_KT.xlsx
"Oei pă 'nhŏng hơmol đech oei lăi păng kon sâu hăp, jing hơdrung Annam.","Chỉ còn người anh cả ờ lại với con cháu mình, thành giống người Annam.",Kon Tum\Sử thi Homon\Homon Bahnar.xlsx
Oei ăh mang ko' chang ko'h đe,Đợi tại cửa để chém người:,Kon Tum\Câu đố\Cau do Bahnar - Trang 258 - Trang 264.xlsx
Oh chẽp ũnh chai Mơmai,Em mang lửa chai Chị,Kon Tum\Câu đố\Cau do Bahnar - Trang 44- Trang 210.xlsx
Oh dră kăn hi,Em gái của họ,Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_5_KT.xlsx
Oh drăkăn hi,Em gái của họ,Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_4_KT.xlsx
Oh drăkăn đehăp ( Oh drăkăn đehi),Em gái của họ,Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_6_KT.xlsx
Oh hloh kơ nhông.,Em to lớn hơn anh,Kon Tum\Câu đố\Cau do Bahnar - Trang 258 - Trang 264.xlsx
"Oh huống, anhõng dui?","Anh thò ra, em kéo vào?",Kon Tum\Câu đố\Cau do Bahnar - Trang 44- Trang 210.xlsx
Oh kơ drang hi,Em trai của họ,Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_5_KT.xlsx
Oh kơ drăng hi,Em trai của họ,Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_4_KT.xlsx
Oh kơdrăng đe hi ( Oh kơdrăng đehăp),Em trai của họ,Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_6_KT.xlsx
"Oh kờng, anhõng hotốp?","Em giữ, anh đâm?",Kon Tum\Câu đố\Cau do Bahnar - Trang 44- Trang 210.xlsx
"Oh păng anhồng kơdâu pơlong Anhõng vă hloh, oh vă loi?","Hai anh em chạy thi Em muốn thắng, anh muốn hơn?",Kon Tum\Câu đố\Cau do Bahnar - Trang 44- Trang 210.xlsx
Oh păng anhồng pơlong kơtah chơkây?,Em với anh thi nhau nhảy xuốc thác?,Kon Tum\Câu đố\Cau do Bahnar - Trang 44- Trang 210.xlsx
Oh to'plong nhong luh Iah.,"Em nhảy múa, anh cũng nhảy múa",Kon Tum\Câu đố\Cau do Bahnar - Trang 258 - Trang 264.xlsx
Ong înh athei mïnh 'nu tadâm pa'nam jang ragei dei 'ba la.,"-     ơi ông Rơh, hôm nay ông đánh trổng làm gì thế ?",Kon Tum\Sử thi Homon\Homon Bahnar.xlsx
Oẽi iẽ hâp (hõp) srũk ao kok Tih biă hâp srũk ao nget Tih poih hâp srũk ao gôh?,Còn nhỏ mặc áo trắng Lớn lên mặc áo xanh về già mặc áo đỏ?,Kon Tum\Câu đố\Cau do Bahnar - Trang 44- Trang 210.xlsx
Oẽi iẽ hâp (hăp) srũk ao jỡk Tih hâp smk ao gôh?,Còn nhỏ nó mặc áo xanh Lớn lên nó mang áo đỏ,Kon Tum\Câu đố\Cau do Bahnar - Trang 44- Trang 210.xlsx
"Oẽi iẽ hâp găm
Truh tơdăm hâp bak?",Nhỏ thỉ da đen Lớn lên da lại trẳng?,Kon Tum\Câu đố\Cau do Bahnar - Trang 44- Trang 210.xlsx
Oẽi iẽ hâp hrâp ao găm Tơdăm hâp hrâp ao brê?,Còn nhỏ mặc áo đen Lớn lên mang áo đỏ?,Kon Tum\Câu đố\Cau do Bahnar - Trang 44- Trang 210.xlsx
Oẽi iẽ hâp hrâp hơbẽn ao Hrâp đunh lao pốh klỡrn lễ,Lúc nhỏ quấn khăn áo về sau lột vứt đi?,Kon Tum\Câu đố\Cau do Bahnar - Trang 44- Trang 210.xlsx
"Oẽi iẽ pũ hơkă
Truh kră pũ jop?",Còn trẻ đeo gùi kín về già mang gùi thưa?,Kon Tum\Câu đố\Cau do Bahnar - Trang 44- Trang 210.xlsx
Oẽi iẽ tõ bih Truh tih tố klăn?,Còn nhỏ bằng con rắn Lớn lên bằng con trăn?,Kon Tum\Câu đố\Cau do Bahnar - Trang 44- Trang 210.xlsx
Oẽi lăm hnam tõ kơkõng Põng hăp tơ angaih tõ kơđum?,Ờ trong nhà bằng cổ tay Ra ngoài sân như cái nia?,Kon Tum\Câu đố\Cau do Bahnar - Trang 44- Trang 210.xlsx
"Oẽi minh dnoh, ưlĩ kơđẽỉ năm tơjoh?",Ngồi im một chỗ chẳng hề đi đâu?,Kon Tum\Câu đố\Cau do Bahnar - Trang 22- Trang 37.xlsx
"Oẽi tơ hnam hin, hăp bek Oẽi tơ hnam pơdrõng, hăp hơkẽ?",Ở nhà nghèo nó mập Ở nhà giàu nó ốm?,Kon Tum\Câu đố\Cau do Bahnar - Trang 44- Trang 210.xlsx
Oẽi tơ hnam pơđũk grươk grươk Bỗk tơ bri pơdũk phĩ phăt,Ở nhà bụng đói sôi ột ột Lên rừng no nê hỉ hả?,Kon Tum\Câu đố\Cau do Bahnar - Trang 44- Trang 210.xlsx
Oẽi tơ kông iẽ tõ pah Kơtah tơ đak tih tố hơsêng?,"Ở trên cạn bằng cái gùi nhỏ?
Nhảy xuống nước to bằng cái nong?",Kon Tum\Câu đố\Cau do Bahnar - Trang 44- Trang 210.xlsx
Oẽi tơ kông nhâm pũk păk Jur tơ đak dỗ rơheng?,Trên cạn khóc hoâi Xuống nước nín thinh?,Kon Tum\Câu đố\Cau do Bahnar - Trang 44- Trang 210.xlsx
Oẽi tơ kông tõ anglâu dẽng Tong tơ đak tõ yõng jỡng,Trên cạn bằng ngón tay út Xuống nước bằng ngón chân cái?,Kon Tum\Câu đố\Cau do Bahnar - Trang 44- Trang 210.xlsx
Oẽi tơ kông tõ jak Jur tơ đak tih tồ rôih?,Ở trên cạn chỉ bằng cái gùi nhỏ? Xuống nước thỉ lớn bằng con voi?,Kon Tum\Câu đố\Cau do Bahnar - Trang 44- Trang 210.xlsx
Oẽi tơ kông đe kơsoh kơhak Oẽi tơ đak đe huet ayôp?,Trên cạn bị người ta khạc nhổ Dưới nước được người ta mút ăn?,Kon Tum\Câu đố\Cau do Bahnar - Trang 44- Trang 210.xlsx
Oẽi tẽng srũk ao nget Alố srũk ao gôh?,Còn nhỏ mặc áo xanh Lớn lên mặc áo đỏ?,Kon Tum\Câu đố\Cau do Bahnar - Trang 44- Trang 210.xlsx
"Pai klaih, 'bok ie gô mĕ rơnŏ, Klaih noh hăp sŏng tam tơyơ por to'bang goh pot.","Nấu xong, chi ăn một loáng hết sạch., chú bé chờ mẹ dọn ra",Kon Tum\Sử thi Homon\Homon Bahnar.xlsx
Pal plẽnh đẽi pơkao,Trên trời có hoa,Kon Tum\Câu đố\Cau do Bahnar - Trang 44- Trang 210.xlsx
Phân ară yua hnam đâu tư tư̆ kơ dih kân đô̆i păng huy đô̆ng rim nguôn jên hơp phap nai,phần còn lại do nhà đầu tư tự cân đối và huy động các nguồn vốn hợp pháp khác.,Kon Tum\Văn bản phát thanh\VH-TT bai 07.xlsx
Phenh gyăm 'mi,Trời sắp mưa,Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_5_KT.xlsx
"Phê yuiêt sô̆ lươ̆ng bơ ngai đĕi hương chê̆ đô̆ miên, yam jên pơxrăng;","Phê duyệt số lượng đối tượng được hưởng chế độ miễn, giảm học phí;",Kon Tum\Văn bản phát thanh\VH-TT bai 06.xlsx
Phiang khan hi bĩ văn,Phiang bảo nó không rảnh,Kon Tum\Bảng đặt câu.xlsx
Phiang noh kon xơ đơng mẽ inh,Phiang là con đỡ đầu của mẹ tôi,Kon Tum\Bảng đặt câu.xlsx
Phiẽng phiang yang tõk oẽi?,Lung linh yang ở?,Kon Tum\Câu đố\Cau do Bahnar - Trang 44- Trang 210.xlsx
Phong sự thu thanh dih xuân dũng phản ánh gah tơdrong xô dih kon pơ lei gah trong bôk nao,Phóng sự thu thanh của Xuân Dũng phản ánh về niềm vui của người dân về con đường mới,Kon Tum\Văn bản phát thanh\TT-CS bai 05.xlsx
"Phong trào pơ tơm dân vân kheêo đei rim cham pơlei, đơn vi pơnhroh, pơgŏp kăp git pơgloh lơ̆m pơjing kinh tê xa hôi, ổn định an ninh chinh tri ah cham pơlei.","Phong trào thi đua “Dân vận khéo” được các địa phương, góp phần quan trọng vào phát triển KT-XH, đơn vị triển khai, ổn định an ninh chính trị ở địa phương.",Kon Tum\Văn bản phát thanh\TT-CS bai 01.xlsx
"Phong trào thi đua dân vận khéo a tum păng phong trào thi đua ah cơ sở đei dôm địa phương, đơn vị triển khai, to góp tơ drong kăp git lơm tơ iung kinh tế, xã hội tơ địa phương","Phong trào thi đua “Dân vận khéo” gắn với phong trào thi đua ở cơ sở được các địa phương, góp phần quan trọng vào phát triển kinh tế, xã hội ở địa phương, đơn vị triển khai",Kon Tum\Văn bản phát thanh\TT-CS bai 04.xlsx
Phô̆i hơp păng Sơ Lao đô̆ng - Thương 'binh păng Xa hô̆i păng rim kơ koan liên koan pơ tâm lơm khĕi hanh đô̆ng,Phối hợp với Sở Lao động - Thương binh và Xã hội và các cơ quan liên quan tuyên truyền về Tháng hành động,Kon Tum\Văn bản phát thanh\VH-TT bai 05.xlsx
"Phô̆i hơp păng sơ Lao đô̆ng - Thương 'binh păng xa hô̆i lơm rim hoat đô̆ng truyên thông Khĕi hanh đô̆ng: 'bô̆ trĭ dôm anih măn, atol 'băng rôn, ap phich","Phối hợp với Sở Lao động - Thương binh và Xã hội trong các hoạt động truyền thông Tháng hành động: bố trí các điểm đặt cụm panô, băng rôn, áp phích",Kon Tum\Văn bản phát thanh\VH-TT bai 05.xlsx
"Phô̆i hơp păng sơ, 'ban, nganh tô chưk bơ tho pơm","Phối hợp với các sở, ban, ngành, tổ chức hướng dẫn thực hiện",Kon Tum\Văn bản phát thanh\VH-TT bai 05.xlsx
Phran bĩ găn lơng,Phran không được khỏe,Kon Tum\Bảng đặt câu.xlsx
Phran bĩ lẽ trong bôk,Phran không biết đường đi,Kon Tum\Bảng đặt câu.xlsx
Phyang pơ xrăm bôk,Phyang tập đi,Kon Tum\Bảng đặt câu.xlsx
Phyơnh bôk jang boih,Phyơnh đi làm rồi,Kon Tum\Bảng đặt câu.xlsx
Phyơnh bôk wei rơ mo,Phyơnh đi chăn bò,Kon Tum\Bảng đặt câu.xlsx
"Phát huy kết quả xang đei, khei năr truh ban dân vận huyện ủy vĩnh thạnh tập trung tuyên truyền, vận động nâng cao nhanaj thức dih tôm xã hội gah phát huy vai trò tih loi dih nhân dân lơm tơ drong sự nghiệp pơ jing păng vai ver the đak; tơ dra deh công tác dân vận dih chính quyền, pơm mă lơng quy chế dân chủ ah cơ sở; pơm pơ toi triển khai dôm chính sách mă trọ kio ko tầng lớp nhân dân, tôn giáo, dân tộc; pơm pơ toi tơ dra deh phong trào thi đua dân vận khéo, atm păng dôm phong trào thi đua băt teh đek ah cơ sở, tơ góp xơ nong lơm tơ drong tơ iung kinh tế, xã hội, wai ko jap quốc phòng, an ninh, wai wer an sinh xã hội lơm pung huyện","Phát huy kết quả đạt được, an ninh, bảo vệ an sinh xã hội trên địa bàn huyện, các tôn giáo, dân tộc; tiếp tục đẩy mạnh phong trào thi đua “Dân Vận khéo” gắn với các phong trào thi đua yêu nước ở cơ sở, giữ vững quốc phòng, góp phần vào sự phát triển kinh tế, thời gian tới Ban Dân vận huyện ủy Vĩnh Thạnh tập trung tuyên truyền, thực hiện tốt quy chế dân chủ ở cơ sở; tiếp tục triển khai các chính sách phù hợp với các tầng lớp nhân dân, vận động  nâng cao nhận thức của toàn xã hội về phát huy vai trò to lớn của nhân dân trong sự sự nghiệp xây dựng và bảo vệ tổ quốc; đẩy mạnh công tác Dân vận của chính quyền, xã hội",Kon Tum\Văn bản phát thanh\TT-CS bai 04.xlsx
Phênh gô 'mi,Trời sẽ mưa,Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_5_KT.xlsx
Phôm đẽch mă ẽi đẽi adrẽch lơ?,Chỉ đánh rắm mà lắm cháu con?,Kon Tum\Câu đố\Cau do Bahnar - Trang 44- Trang 210.xlsx
Phõ đang phố ưh?,"lúc thì không?, xong",Kon Tum\Câu đố\Cau do Bahnar - Trang 44- Trang 210.xlsx
Phương thưk tơ gưm,Phương thức hỗ trợ:,Kon Tum\Văn bản phát thanh\VH-TT bai 07.xlsx
"Phản ánh đon băt dih cán bộ, đảng viên păng kon pơ lei lơm tỉnh, bơ ngai bình định a a gah tỉnh kio ko kết quả đại hội đảng bộ dôm cấp lơm tỉnh; dôm hoạt động hmach xô thành công dih đại hội XX đảng bộ tỉnh","Phản ánh tình cảm của cán bộ, người Bình Định ở ngoài tỉnh đối với kết quả đại hội đảng bộ các cấp trong tỉnh; các hoạt động chào mừng thành công của Đại hội XX Đảng bộ tỉnh., đảng viên và nhân dân trong tỉnh",Kon Tum\Văn bản phát thanh\TT-CS bai 04.xlsx
"Plah âu, UBND xa Vinh Hoa pơm Hôi nghi pơnhroh rim văn ban pơgơr păng pơtho khan minh ksỗ tơdrong liên kuan truh tơdrong ‘bơu cư trương thôn nhiêm ky 2019 – 2021.",Mới đây UBND xã Vĩnh Hòa tổ chức Hội nghị triển khai các văn bản chỉ đạo và hướng dẫn một số nội dung liên quan đến cơng tác bầu cử trưởng thơn nhiệm kỳ  2019-2021.,Kon Tum\Văn bản phát thanh\TT-CS bai 01.xlsx
Plei gơlă hla rơgơh,"Trái có gai, lá trơn",Kon Tum\Câu đố\Cau do Bahnar - Trang 258 - Trang 264.xlsx
Plei hăp tơbloi kok tơlống Mă lei hơtõng ưh kơ đẽi?,Trái tròn tròn trắng trắng Nhưng mà không có cuống?,Kon Tum\Câu đố\Cau do Bahnar - Trang 44- Trang 210.xlsx
Plei jơla Hla rơgoh?,"Trái nó có gai
Lá nó thì trơn?",Kon Tum\Câu đố\Cau do Bahnar - Trang 44- Trang 210.xlsx
"Plei kiơ ưh kơ đẽi along, ưh kơ đẽi dơng, ưh kơ đêi hla, tơrna gơh rơi, gơh kơdâu, gơh păr?","Trái gì không cây, biết bay?, biết chạy, không cành, khỏnơ lá, nhưne lại biết bò",Kon Tum\Câu đố\Cau do Bahnar - Trang 44- Trang 210.xlsx
Plenh bĭ 'mi,Trời không mưa,"Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_1_KT.xlsx, Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_5_KT.xlsx"
Plenh gyăm 'mi,Trời sắp mưa,Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_1_KT.xlsx
Plenh gô 'mi,Trời sẽ mưa,Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_1_KT.xlsx
Plenh gô mi,Trời sẽ mưa,Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_4_KT.xlsx
Plenh mi dơng kơ xơ̆ yăng bri dang ai duh oai 'mi,"Trời mưa từ chiều qua, bây giờ vẫn còn mưa",Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_1_KT.xlsx
"Plĕi nghê chă ăn drong pơm, tăng thu nhâ̆p ăn kơ đe kon plĕi;","Làng nghề tạo việc làm, tăng thu nhập cho người dân địa phương;",Kon Tum\Văn bản phát thanh\VH-TT bai 07.xlsx
Plĕi nghê pơ klep păng păng tơ iung drong yă trĭ văn hŏa thông koa rim plĕi nghê truyên thô̆ng,"Làng nghề gắn với việc bảo tồn, phát triển giá trị văn hóa thông qua các nghề truyền thống.",Kon Tum\Văn bản phát thanh\VH-TT bai 07.xlsx
Plĕi nghê truyên thô̆ng đĕi kông nhâ̆n: tơ gưm dang 7 'măng mưk lương kơ sơ,Làng nghề truyền thống được công nhận: Hỗ trợ bằng 7 lần mức lương cơ sở.,Kon Tum\Văn bản phát thanh\VH-TT bai 07.xlsx
Plĕi nghê đĕi kong nhâ̆n: tơ gưm dang 5 'măng mưk lương kơ sơ,Làng nghề được công nhận: Hỗ trợ bằng 5 lần mức lương cơ sở.,Kon Tum\Văn bản phát thanh\VH-TT bai 07.xlsx
Plĕi nghê đĕi thĭ trương tiêu thŭ lưng; plĕi nghê pơ klep păng tơ iung yu lich păng pơ jing cham plĕi 'nao;,Làng nghề có thị trường tiêu thụ tốt; làng nghề gắn với phát triển du lịch và xây dựng nông thôn mới;,Kon Tum\Văn bản phát thanh\VH-TT bai 07.xlsx
Plênh oă mi,Trời sắp mưa,Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_4_KT.xlsx
Plõt geng âu huõng Chrõng geng to lẽch?,Thình lình bên này rớt Lập tức bên kia chày?,Kon Tum\Câu đố\Cau do Bahnar - Trang 44- Trang 210.xlsx
Plĕnh bĭ đeimi,Trời không mưa,Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_6_KT.xlsx
Plĕnh bĭmi,Trời không mưa,Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_4_KT.xlsx
Plĕnh giăm mi,Trời sắp mưa,Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_6_KT.xlsx
Plĕnh gô mi,Trời sẽ mưa,Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_6_KT.xlsx
"Plĕnh mi dơ̆ng kơxơ̆ iơ̆ng bri, dang ei duh oei brui","Trời mưa từ chiều qua, bây giờ vẫn còn mưa",Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_6_KT.xlsx
Plĕnh năr rai tô̆,Trời ngày càng ấm,Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_4_KT.xlsx
Plĕnh năr rai tơtô̆,Trời ngày càng ấm,Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_6_KT.xlsx
"Plŭng bre hăp heu deh bĭ đunh dâng ăi bô̆k sang kơdăn hơtaih dâng kông, dơ'ngir măt bre hăp đak hmơ hmlông hmơ hmlang să pă 'bôh jih, plŭng bre hăp bô̆k pă lơle kơ dôm 'măng khei pơnil duh tam truh jih.","Thuyền trôi đi nhanh lắm, chang mấy lúc đất đã cách xa, thuvền bơi có đến mấy lần con trăng tròn cũng chưa hết., trước mắt hai anh em là cả một vùng nước mênh mông",Kon Tum\Sử thi Homon\Homon Bahnar.xlsx
Plẽi bri kông Oẽi tơ bõk đak Tơmo krcm brumg?,"Trái trong núi rừng
Ở giữa dòng nước Đá lại dính rêu?",Kon Tum\Câu đố\Cau do Bahnar - Trang 44- Trang 210.xlsx
Plẽi kiỡ gơh mong lỡm (lăm) vẽi đak ngam?,Trái gỉ tròn bên trong chứa nước ngọt?,Kon Tum\Câu đố\Cau do Bahnar - Trang 44- Trang 210.xlsx
Po hatuch hăp raih đei mĭnh pôm săng tih păng hngăm mă mônh.,"Rít cŭng không biêt phải kiêm ở đàu, bèn hỏi vợ rồi nhờ yã Hpôm chuẩn bị gạo cho mình lên đường.",Kon Tum\Sử thi Homon\Homon Bahnar.xlsx
Pojreng mom mẽ?,hàng bú mẹ?,Kon Tum\Câu đố\Cau do Bahnar - Trang 44- Trang 210.xlsx
Por 'nao xin,Cơm vừa chín,"Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_1_KT.xlsx, Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_5_KT.xlsx"
Por 'nao xĭn,Cơm vừa chín,Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_6_KT.xlsx
Por nao xĭn,Cơm vừa chín,Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_4_KT.xlsx
Por tõ kong song bĩ đĩ.,Cơm bằng vòng đeo tay ăn khônơ hết,Kon Tum\Câu đố\Cau do Bahnar - Trang 258 - Trang 264.xlsx
Porngai minh hcrrieng oei minh pôm choneng,Một trăm người ngồi trên một cái giường,Kon Tum\Câu đố\Cau do Bahnar - Trang 258 - Trang 264.xlsx
"Pôk xuôn drong kiê̆n thưk, ky năng tư̆ 'bao vê̆ kơ dih, tư̆ phong dâ̆t xâm hăi ăn đe kon dră kăn păng đe hyoh","Tăng cường giáo dục kiến thức, kỹ năng tự bảo vệ, tự phòng ngừa xâm hại cho phụ nữ và trẻ em",Kon Tum\Văn bản phát thanh\VH-TT bai 05.xlsx
Prah brưm (brỡm) mĩnh jõ Trồ lăp mĩnh hlak?,Bắn hết một ống Trúng chỉ một cây?,Kon Tum\Câu đố\Cau do Bahnar - Trang 44- Trang 210.xlsx
"Prao hrip mĭnh 'măng đĕch đak hrơ̆ đĭ, dơxĭ jrŭ truh tơ klŏk măt năr.","Bơ-rao liền hút một hơi dài, biên sâu phơi đáy dưới mặt trời., nước bỗng dưng cạn hêt",Kon Tum\Sử thi Homon\Homon Bahnar.xlsx
Prit,Chuối,"Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_1_KT.xlsx, Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_4_KT.xlsx, Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_5_KT.xlsx, Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_6_KT.xlsx"
Pro mong atong tơchih?,Cà trắng cuống ngoài làng?,Kon Tum\Câu đố\Cau do Bahnar - Trang 44- Trang 210.xlsx
Pro mõng atong kơ đẽi?,Cà trắng không có cuống?,Kon Tum\Câu đố\Cau do Bahnar - Trang 44- Trang 210.xlsx
Pro mõng ơtõng kơ đẽi?,Cà trắng không có cuống?,Kon Tum\Câu đố\Cau do Bahnar - Trang 44- Trang 210.xlsx
"Pro mõng, tõng hoy (ưh kơ đẽi)?",Cà trắng mà cuống không có?,Kon Tum\Câu đố\Cau do Bahnar - Trang 44- Trang 210.xlsx
"Pro mõng, tống kơ ối (ưh kơ đẽi)","Cà trắng, cuống không có?",Kon Tum\Câu đố\Cau do Bahnar - Trang 44- Trang 210.xlsx
Ptŭng (Duk),Con thuyền,Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_6_KT.xlsx
Puan anu tơdăm oẽi jẽ ủnh ưh kơ mom tồ?,Bốn thanh niên ngồi bên lửa mà không biết nóng?,Kon Tum\Câu đố\Cau do Bahnar - Trang 44- Trang 210.xlsx
Pât pâng (pơt pơng) tu krong?,Sông ở đầu nguồn?,Kon Tum\Câu đố\Cau do Bahnar - Trang 44- Trang 210.xlsx
Pât pâng tu krong?,Hai đầu đều có?,Kon Tum\Câu đố\Cau do Bahnar - Trang 44- Trang 210.xlsx
"Pêng 'nu đe hăp hơrih sa sơnêp sơnoi, sô̆ sôn ling lang.",Ba mẹ con anh sống cuộc đời yên ổn.,Kon Tum\Sử thi Homon\Homon Bahnar.xlsx
"Pêng (tõ) kơl, puan (puăn, puõn) lơpiẽt, jit jởng?","Ba đầu, bốn lưỡi, mười chân?",Kon Tum\Câu đố\Cau do Bahnar - Trang 44- Trang 210.xlsx
Pêng anu bok pơtao nhur ũnh ưh kơ hrăp?,Ba ông già ngồi sưởi hoài không biết chán?,Kon Tum\Câu đố\Cau do Bahnar - Trang 44- Trang 210.xlsx
Pêng anu bơngai anhong oh năm dăr teh đak Anhỗng kơ kră năm hiỡ biỡ kơ oh mă bar Oh mă băr năm hiờ biở kơ oh sơdruch?,Ba anh em đi khắp đất nước Anh cả chậm hơn anh thứ hai Anh hai chậm hơn người em út?,Kon Tum\Câu đố\Cau do Bahnar - Trang 44- Trang 210.xlsx
Pêng anu linh vẽi mĩnh anu kuan?,Ba lính bảo vệ một quan?,Kon Tum\Câu đố\Cau do Bahnar - Trang 44- Trang 210.xlsx
Pêng anu tơdăm găm suik suak ũnh ưh kơ hrăp?,Ba thanh niên ngồi sưởi hoài không biết chán?,Kon Tum\Câu đố\Cau do Bahnar - Trang 44- Trang 210.xlsx
Pêng anu tống kơpỡng kơ hla?,Bốn thanh niên ngồi bên lửa mà không biết nóng?,Kon Tum\Câu đố\Cau do Bahnar - Trang 44- Trang 210.xlsx
Pêng bơngai tung mĩnh anu bok?,Ba người lính khiêng một ông tướng?,Kon Tum\Câu đố\Cau do Bahnar - Trang 44- Trang 210.xlsx
